# Undirected graph (each unordered pair of nodes is saved once): ab_100n_17.txt
# Undirected Albert-Barabasi Preferential Attachment graph (each new node creades k preferentially attached edges).
# Nodes: 100 Edges: 294
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	6
0	9
0	25
0	37
0	39
0	43
0	66
0	79
0	86
1	2
1	3
1	4
1	5
1	6
1	8
1	10
1	18
1	27
1	32
1	45
1	47
1	60
1	62
1	73
1	89
1	90
1	94
1	96
2	3
2	4
2	5
2	7
2	8
2	9
2	13
2	15
2	19
2	27
2	31
2	39
2	42
2	44
2	59
2	69
2	78
2	97
3	6
3	7
3	8
3	10
3	13
3	14
3	17
3	20
3	21
3	22
3	24
3	28
3	29
3	32
3	34
3	35
3	37
3	42
3	43
3	44
3	46
3	47
3	52
3	54
3	60
3	61
3	63
3	65
3	73
3	81
3	85
3	93
3	98
4	5
4	11
4	19
4	22
4	46
4	53
4	67
4	71
4	87
5	7
5	15
5	16
5	20
5	23
5	40
5	42
5	72
5	78
6	9
6	13
6	21
7	12
7	24
7	25
7	33
7	45
7	46
7	58
7	83
8	10
8	11
8	15
8	16
8	18
8	30
8	40
8	49
8	51
8	56
8	61
8	89
8	96
9	16
9	28
9	32
9	41
9	69
10	11
10	12
10	14
10	17
10	20
10	23
10	33
10	35
10	55
10	76
10	83
10	87
11	12
11	22
11	23
11	26
11	28
11	36
11	38
11	41
11	61
11	95
12	14
12	17
12	18
12	24
12	68
12	70
12	82
12	84
12	89
13	33
13	39
13	49
13	57
13	71
13	74
13	95
14	21
14	26
14	27
14	35
14	50
14	52
14	68
14	70
14	92
14	93
14	97
15	19
15	31
15	92
15	94
16	26
16	30
16	34
16	38
16	56
16	78
17	29
18	48
18	53
19	57
19	60
19	80
20	25
20	36
20	38
20	92
21	29
21	91
22	34
22	59
22	85
23	31
23	74
23	77
27	41
27	43
27	52
28	30
28	37
28	66
28	72
28	79
28	88
29	48
29	57
29	67
29	91
29	95
29	99
30	83
31	47
31	75
31	93
32	54
33	44
33	45
33	55
33	58
33	97
34	36
34	63
34	86
35	48
35	51
35	69
35	84
35	98
36	66
37	40
37	82
40	76
40	77
41	55
41	56
42	53
42	58
42	59
43	49
43	80
44	50
44	68
45	51
45	54
45	64
45	70
45	75
46	71
46	80
46	82
48	62
49	50
49	87
49	88
52	65
52	76
55	64
56	65
56	94
57	62
57	64
58	63
59	99
61	67
61	74
62	81
62	90
65	73
65	81
65	91
67	72
67	75
69	77
70	79
70	85
73	88
73	90
73	98
73	99
74	84
81	86
86	96
